file,method,path,normalizedPath,line,matchingWrappers,classification
backend/app/main.py,GET,/api/v1/clients/{client_id}/data-center/mobile-snapshot,/api/v1/clients/{param}/data-center/mobile-snapshot,29559,getMobileDataCenterSnapshot,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/clients/{client_id}/knowledge/reindex-vector,/api/v1/clients/{param}/knowledge/reindex-vector,29633,reindexClientVector,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/clients/{client_id}/knowledge/vector-index/status,/api/v1/clients/{param}/knowledge/vector-index/status,29650,getClientVectorIndexStatus,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/retrieval/settings,/api/v1/retrieval/settings,29660,getRetrievalSettings | updateRetrievalSettings,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/retrieval/settings,/api/v1/retrieval/settings,29664,getRetrievalSettings | updateRetrievalSettings,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/retrieval/health,/api/v1/retrieval/health,29674,getRetrievalHealth,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/retrieval/shadow-runs,/api/v1/retrieval/shadow-runs,29724,getRetrievalShadowRuns,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/retrieval/shadow-summary,/api/v1/retrieval/shadow-summary,29731,getRetrievalShadowSummary,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/runtime/generation-state,/api/v1/runtime/generation-state,29737,getGenerationRuntimeState,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/runtime/generation-state/reset,/api/v1/runtime/generation-state/reset,29753,resetGenerationRuntimeState | resetGenerationRuntimeStateV2,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/runtime/llm-healthcheck,/api/v1/runtime/llm-healthcheck,29767,runLlmHealthcheck,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/runtime/llm-provider-probe,/api/v1/runtime/llm-provider-probe,29778,runLlmProviderProbe,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/runtime/workspace-chat-diagnostics,/api/v1/runtime/workspace-chat-diagnostics,29791,getWorkspaceChatDiagnostics,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/runtime/workspace-answer-value-diagnostics,/api/v1/runtime/workspace-answer-value-diagnostics,29806,getWorkspaceAnswerValueDiagnostics,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/workspace-answer-value-reviews,/api/v1/workspace-answer-value-reviews,29820,createWorkspaceAnswerValueReview | listWorkspaceAnswerValueReviews,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/workspace-answer-value-reviews,/api/v1/workspace-answer-value-reviews,29830,createWorkspaceAnswerValueReview | listWorkspaceAnswerValueReviews,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/workspace-answer-value-summary,/api/v1/workspace-answer-value-summary,29843,getWorkspaceAnswerValueSummary,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/workspace-value-validation-sessions,/api/v1/workspace-value-validation-sessions,29853,createWorkspaceValueValidationSession | listWorkspaceValueValidationSessions,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/workspace-value-validation-sessions,/api/v1/workspace-value-validation-sessions,29860,createWorkspaceValueValidationSession | listWorkspaceValueValidationSessions,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/workspace-value-validation-sessions/{session_id},/api/v1/workspace-value-validation-sessions/{param},29873,getWorkspaceValueValidationSession,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/workspace-value-validation-sessions/{session_id}/finish,/api/v1/workspace-value-validation-sessions/{param}/finish,29899,finishWorkspaceValueValidationSession,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/workspace-answer-quality-failures,/api/v1/workspace-answer-quality-failures,29903,listWorkspaceAnswerQualityFailures,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/data-center/execution-retry-metrics,/api/v1/data-center/execution-retry-metrics,30099,getExecutionRetryMetrics,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/data-center/rollback-drill,/api/v1/data-center/rollback-drill,30134,runDataCenterRollbackDrill,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/data-center/operational-status,/api/v1/data-center/operational-status,30143,,backend_only_no_ui_binding
backend/app/main.py,GET,/api/v1/data-center/artifact-status,/api/v1/data-center/artifact-status,30152,getDataCenterArtifactStatus,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/data-center/schema/status,/api/v1/data-center/schema/status,30156,getDataCenterSchemaStatus,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/data-center/schema/ensure,/api/v1/data-center/schema/ensure,30160,ensureDataCenterSchema,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/data-center/sync/preview,/api/v1/data-center/sync/preview,30164,,backend_only_no_ui_binding
backend/app/main.py,GET,/api/v1/data-center/proposal-drafts,/api/v1/data-center/proposal-drafts,30244,getDataCenterProposalDrafts,active_bound
backend/app/main.py,GET,/api/v1/external-evidence-cards,/api/v1/external-evidence-cards,30554,getExternalEvidenceCards,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/topic-candidates/{topic_id}/external-evidence-card,/api/v1/topic-candidates/{param}/external-evidence-card,30569,createExternalEvidenceCardFromTopicCandidate,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/external-evidence-cards/{card_id}/accept,/api/v1/external-evidence-cards/{param}/accept,30589,acceptExternalEvidenceCard,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/external-evidence-cards/{card_id}/reject,/api/v1/external-evidence-cards/{param}/reject,30610,rejectExternalEvidenceCard,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/data-center/evidence-quality,/api/v1/data-center/evidence-quality,30657,getDataCenterEvidenceQuality,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/data-center/evidence-quality/{annotation_id}/label,/api/v1/data-center/evidence-quality/{param}/label,30672,labelDataCenterEvidenceQuality,active_bound
backend/app/main.py,GET,/api/v1/system/source-integrity,/api/v1/system/source-integrity,30698,getSourceIntegrity,active_bound
backend/app/main.py,GET,/api/v1/data-center/shadow-runs,/api/v1/data-center/shadow-runs,30722,getDataCenterShadowRuns,api_wrapper_orphan
backend/app/main.py,GET,/api/v1/data-center/shadow-summary,/api/v1/data-center/shadow-summary,30735,getDataCenterShadowSummary,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/clients/{client_id}/knowledge/rebuild,/api/v1/clients/{param}/knowledge/rebuild,30746,rebuildClientKnowledge,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/knowledge/search,/api/v1/clients/{param}/knowledge/search,30785,searchClientKnowledge,active_bound
backend/app/main.py,GET,/api/v1/clients/{client_id}/goals,/api/v1/clients/{param}/goals,30855,createGoal,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/goals,/api/v1/clients/{param}/goals,30859,createGoal,active_bound
backend/app/main.py,GET,/api/v1/clients/{client_id}/dna-documents,/api/v1/clients/{param}/dna-documents,30874,getClientDnaDocuments,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/dna-documents/generate,/api/v1/clients/{param}/dna-documents/generate,30879,generateClientDnaCandidates,active_bound
backend/app/main.py,GET,/api/v1/clients/{client_id}/dna-documents/{module_key},/api/v1/clients/{param}/dna-documents/{param},30921,getClientDnaDocument | updateClientDnaDocument,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/dna-documents/{module_key},/api/v1/clients/{param}/dna-documents/{param},30930,getClientDnaDocument | updateClientDnaDocument,active_bound
backend/app/main.py,GET,/api/v1/clients/{client_id}/project-structure,/api/v1/clients/{param}/project-structure,30951,getClientProjectStructure,active_bound
backend/app/main.py,GET,/api/v1/clients/{client_id}/project-modules/{module_id},/api/v1/clients/{param}/project-modules/{param},30955,getProjectModuleDetail | updateProjectModule | deleteProjectModule,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/project-modules,/api/v1/clients/{param}/project-modules,30960,createProjectModule,active_bound
backend/app/main.py,PATCH,/api/v1/clients/{client_id}/project-modules/{module_id},/api/v1/clients/{param}/project-modules/{param},31005,getProjectModuleDetail | updateProjectModule | deleteProjectModule,active_bound
backend/app/main.py,DELETE,/api/v1/clients/{client_id}/project-modules/{module_id},/api/v1/clients/{param}/project-modules/{param},31056,getProjectModuleDetail | updateProjectModule | deleteProjectModule,active_bound
backend/app/main.py,GET,/api/v1/clients/{client_id}/project-flows/{flow_id},/api/v1/clients/{param}/project-flows/{param},31075,getProjectFlowDetail | updateProjectFlow | deleteProjectFlow,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/project-flows,/api/v1/clients/{param}/project-flows,31080,createProjectFlow,active_bound
backend/app/main.py,PATCH,/api/v1/clients/{client_id}/project-flows/{flow_id},/api/v1/clients/{param}/project-flows/{param},31134,getProjectFlowDetail | updateProjectFlow | deleteProjectFlow,active_bound
backend/app/main.py,DELETE,/api/v1/clients/{client_id}/project-flows/{flow_id},/api/v1/clients/{param}/project-flows/{param},31187,getProjectFlowDetail | updateProjectFlow | deleteProjectFlow,active_bound
backend/app/main.py,GET,/api/v1/clients/{client_id}/dna,/api/v1/clients/{param}/dna,31210,upsertDna,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/dna,/api/v1/clients/{param}/dna,31214,upsertDna,active_bound
backend/app/main.py,POST,/api/v1/imports,/api/v1/imports,31261,importPaths,active_bound
backend/app/main.py,GET,/api/v1/clients/{client_id}/page-context,/api/v1/clients/{param}/page-context,32770,getClientPageContext,active_bound
backend/app/main.py,POST,/api/v1/data-center/resolve,/api/v1/data-center/resolve,32874,resolveDataCenterKernel,active_bound
backend/app/main.py,GET,/api/v1/data-center/diagnose,/api/v1/data-center/diagnose,32883,diagnoseDataCenter,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/clients/{client_id}/workspace/chat/start,/api/v1/clients/{param}/workspace/chat/start,32936,startClientMessage,active_bound
backend/app/main.py,GET,/api/v1/clients/{client_id}/analysis-runs/{run_id},/api/v1/clients/{param}/analysis-runs/{param},32975,getClientAnalysisRun,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/analysis-runs/{run_id}/cancel,/api/v1/clients/{param}/analysis-runs/{param}/cancel,32981,cancelClientAnalysisRun,active_bound
backend/app/main.py,GET,/api/v1/clients/{client_id}/workspace/chat/messages/{message_id},/api/v1/clients/{param}/workspace/chat/messages/{param},32986,getClientMessage,active_bound
backend/app/main.py,GET,/api/v1/clients/{client_id}/workspace/chat/threads/{thread_id},/api/v1/clients/{param}/workspace/chat/threads/{param},32991,getClientChatThread,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/workspace/chat,/api/v1/clients/{param}/workspace/chat,32999,,backend_only_no_ui_binding
backend/app/main.py,POST,/api/v1/clients/{client_id}/knowledge/vectorize-answer,/api/v1/clients/{param}/knowledge/vectorize-answer,33008,vectorizeAnswer,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/knowledge/enrich-surrogates,/api/v1/clients/{param}/knowledge/enrich-surrogates,33047,,backend_only_no_ui_binding
backend/app/main.py,POST,/api/v1/clients/{client_id}/knowledge/build-profile,/api/v1/clients/{param}/knowledge/build-profile,33064,,backend_only_no_ui_binding
backend/app/main.py,POST,/api/v1/clients/{client_id}/knowledge/sync-to-cloud,/api/v1/clients/{param}/knowledge/sync-to-cloud,33087,,backend_only_no_ui_binding
backend/app/main.py,POST,/api/v1/knowledge/backfill-all-clients,/api/v1/knowledge/backfill-all-clients,33096,,backend_only_no_ui_binding
